Order_YearMonth,Order_Count
2017-01,32
2017-02,28
2017-03,71
2017-04,66
2017-05,69
2017-06,66
2017-07,65
2017-08,72
2017-09,130
2017-10,78
2017-11,151
2017-12,141
2018-01,29
2018-02,36
2018-03,79
2018-04,72
2018-05,74
2018-06,68
2018-07,66
2018-08,68
2018-09,140
2018-10,87
2018-11,158
2018-12,161
2019-01,48
2019-02,45
2019-03,86
2019-04,89
2019-05,108
2019-06,97
2019-07,96
2019-08,90
2019-09,192
2019-10,105
2019-11,183
2019-12,176
2020-01,69
2020-02,53
2020-03,118
2020-04,116
2020-05,118
2020-06,133
2020-07,111
2020-08,111
2020-09,226
2020-10,147
2020-11,261
2020-12,224
